source,root,class_name,num_images,sample_images
train,c:\Users\Muhamad Muslih\Desktop\modeling\dataset\fruits,fresh banana,240,"['c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\fruits\\fresh banana\\data asli\\fresh_banana_001.jpg', 'c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\fruits\\fresh banana\\data asli\\fresh_banana_002.jpg', 'c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\fruits\\fresh banana\\data asli\\fresh_banana_003.jpg', 'c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\fruits\\fresh banana\\data asli\\fresh_banana_004.jpg', 'c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\fruits\\fresh banana\\data asli\\fresh_banana_005.jpg', 'c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\fruits\\fresh banana\\data asli\\fresh_banana_006.jpg']"
train,c:\Users\Muhamad Muslih\Desktop\modeling\dataset\fruits,fresh mango,240,"['c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\fruits\\fresh mango\\data asli\\fresh_mango_001.jpg', 'c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\fruits\\fresh mango\\data asli\\fresh_mango_002.jpg', 'c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\fruits\\fresh mango\\data asli\\fresh_mango_003.jpg', 'c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\fruits\\fresh mango\\data asli\\fresh_mango_004.jpg', 'c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\fruits\\fresh mango\\data asli\\fresh_mango_005.jpg', 'c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\fruits\\fresh mango\\data asli\\fresh_mango_006.jpg']"
train,c:\Users\Muhamad Muslih\Desktop\modeling\dataset\fruits,fresh orange,244,"['c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\fruits\\fresh orange\\data asli\\fresh_orange_001.jpg', 'c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\fruits\\fresh orange\\data asli\\fresh_orange_002.jpg', 'c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\fruits\\fresh orange\\data asli\\fresh_orange_003.jpg', 'c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\fruits\\fresh orange\\data asli\\fresh_orange_004.jpg', 'c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\fruits\\fresh orange\\data asli\\fresh_orange_005.jpg', 'c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\fruits\\fresh orange\\data asli\\fresh_orange_006.jpg']"
train,c:\Users\Muhamad Muslih\Desktop\modeling\dataset\fruits,rotten banana,240,"['c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\fruits\\rotten banana\\data asli\\rotten_banana_001.jpg', 'c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\fruits\\rotten banana\\data asli\\rotten_banana_002.jpg', 'c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\fruits\\rotten banana\\data asli\\rotten_banana_003.jpg', 'c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\fruits\\rotten banana\\data asli\\rotten_banana_004.jpg', 'c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\fruits\\rotten banana\\data asli\\rotten_banana_005.jpg', 'c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\fruits\\rotten banana\\data asli\\rotten_banana_006.jpg']"
train,c:\Users\Muhamad Muslih\Desktop\modeling\dataset\fruits,rotten mango,240,"['c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\fruits\\rotten mango\\data asli\\rotten_mango_001.jpg', 'c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\fruits\\rotten mango\\data asli\\rotten_mango_002.jpg', 'c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\fruits\\rotten mango\\data asli\\rotten_mango_003.jpg', 'c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\fruits\\rotten mango\\data asli\\rotten_mango_004.jpg', 'c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\fruits\\rotten mango\\data asli\\rotten_mango_005.jpg', 'c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\fruits\\rotten mango\\data asli\\rotten_mango_006.jpg']"
train,c:\Users\Muhamad Muslih\Desktop\modeling\dataset\fruits,rotten orange,240,"['c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\fruits\\rotten orange\\data asli\\rotten_orange_001.jpg', 'c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\fruits\\rotten orange\\data asli\\rotten_orange_002.jpg', 'c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\fruits\\rotten orange\\data asli\\rotten_orange_003.jpg', 'c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\fruits\\rotten orange\\data asli\\rotten_orange_004.jpg', 'c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\fruits\\rotten orange\\data asli\\rotten_orange_005.jpg', 'c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\fruits\\rotten orange\\data asli\\rotten_orange_006.jpg']"
train,c:\Users\Muhamad Muslih\Desktop\modeling\dataset\vegetables,fresh carrot,240,"['c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\vegetables\\fresh carrot\\data asli\\fresh_carrot_001.jpg', 'c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\vegetables\\fresh carrot\\data asli\\fresh_carrot_002.jpg', 'c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\vegetables\\fresh carrot\\data asli\\fresh_carrot_003.jpg', 'c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\vegetables\\fresh carrot\\data asli\\fresh_carrot_004.jpg', 'c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\vegetables\\fresh carrot\\data asli\\fresh_carrot_005.jpg', 'c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\vegetables\\fresh carrot\\data asli\\fresh_carrot_006.jpg']"
train,c:\Users\Muhamad Muslih\Desktop\modeling\dataset\vegetables,fresh cucumber,240,"['c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\vegetables\\fresh cucumber\\data asli\\fresh_cucumber_001.jpg', 'c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\vegetables\\fresh cucumber\\data asli\\fresh_cucumber_002.jpg', 'c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\vegetables\\fresh cucumber\\data asli\\fresh_cucumber_003.jpg', 'c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\vegetables\\fresh cucumber\\data asli\\fresh_cucumber_004.jpg', 'c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\vegetables\\fresh cucumber\\data asli\\fresh_cucumber_005.jpg', 'c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\vegetables\\fresh cucumber\\data asli\\fresh_cucumber_006.jpg']"
train,c:\Users\Muhamad Muslih\Desktop\modeling\dataset\vegetables,fresh tomato,240,"['c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\vegetables\\fresh tomato\\data asli\\fresh_tomato_001.jpg', 'c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\vegetables\\fresh tomato\\data asli\\fresh_tomato_002.jpg', 'c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\vegetables\\fresh tomato\\data asli\\fresh_tomato_003.jpg', 'c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\vegetables\\fresh tomato\\data asli\\fresh_tomato_004.jpg', 'c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\vegetables\\fresh tomato\\data asli\\fresh_tomato_005.jpg', 'c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\vegetables\\fresh tomato\\data asli\\fresh_tomato_006.jpg']"
train,c:\Users\Muhamad Muslih\Desktop\modeling\dataset\vegetables,rotten carrot,240,"['c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\vegetables\\rotten carrot\\data asli\\rotten_carrot_001.jpg', 'c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\vegetables\\rotten carrot\\data asli\\rotten_carrot_002.jpg', 'c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\vegetables\\rotten carrot\\data asli\\rotten_carrot_003.jpg', 'c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\vegetables\\rotten carrot\\data asli\\rotten_carrot_004.jpg', 'c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\vegetables\\rotten carrot\\data asli\\rotten_carrot_005.jpg', 'c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\vegetables\\rotten carrot\\data asli\\rotten_carrot_006.jpg']"
train,c:\Users\Muhamad Muslih\Desktop\modeling\dataset\vegetables,rotten cucumber,240,"['c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\vegetables\\rotten cucumber\\Pythium Fruit Rot  (1).jpg', 'c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\vegetables\\rotten cucumber\\Pythium Fruit Rot  (10).jpg', 'c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\vegetables\\rotten cucumber\\Pythium Fruit Rot  (11).jpg', 'c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\vegetables\\rotten cucumber\\Pythium Fruit Rot  (117).jpg', 'c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\vegetables\\rotten cucumber\\Pythium Fruit Rot  (12).jpg', 'c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\vegetables\\rotten cucumber\\Pythium Fruit Rot  (13).jpg']"
train,c:\Users\Muhamad Muslih\Desktop\modeling\dataset\vegetables,rotten tomato,240,"['c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\vegetables\\rotten tomato\\data asli\\rotten_tomato_001.jpg', 'c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\vegetables\\rotten tomato\\data asli\\rotten_tomato_002.jpg', 'c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\vegetables\\rotten tomato\\data asli\\rotten_tomato_003.jpg', 'c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\vegetables\\rotten tomato\\data asli\\rotten_tomato_004.jpg', 'c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\vegetables\\rotten tomato\\data asli\\rotten_tomato_005.jpg', 'c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\vegetables\\rotten tomato\\data asli\\rotten_tomato_006.jpg']"
test,c:\Users\Muhamad Muslih\Desktop\modeling\dataset\testings,fruits,60,"['c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\testings\\fruits\\fresh banana\\test_fresh_banana_001.jpg', 'c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\testings\\fruits\\fresh banana\\test_fresh_banana_002.jpg', 'c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\testings\\fruits\\fresh banana\\test_fresh_banana_003.jpg', 'c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\testings\\fruits\\fresh banana\\test_fresh_banana_004.jpg', 'c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\testings\\fruits\\fresh banana\\test_fresh_banana_005.jpg', 'c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\testings\\fruits\\fresh banana\\test_fresh_banana_006.jpg']"
test,c:\Users\Muhamad Muslih\Desktop\modeling\dataset\testings,vegetables,60,"['c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\testings\\vegetables\\fresh carrot\\test_fresh_carrot_001.jpg', 'c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\testings\\vegetables\\fresh carrot\\test_fresh_carrot_002.jpg', 'c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\testings\\vegetables\\fresh carrot\\test_fresh_carrot_003.jpg', 'c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\testings\\vegetables\\fresh carrot\\test_fresh_carrot_004.jpg', 'c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\testings\\vegetables\\fresh carrot\\test_fresh_carrot_005.jpg', 'c:\\Users\\Muhamad Muslih\\Desktop\\modeling\\dataset\\testings\\vegetables\\fresh carrot\\test_fresh_carrot_006.jpg']"
