No,Kelas Aktual,Jumlah Capture,Benar,Salah,Akurasi (%),Rata-rata Inference (ms),Median Inference (ms),P95 Inference (ms)
1,Jeruk Busuk,100,100,0,100.0,89.96813546000003,94.094154,119.341
2,Jeruk Segar,100,100,0,100.0,84.23820080000002,86.017846,114.319154
3,Mangga Busuk,100,100,0,100.0,87.82135766000003,92.306769,120.425538
4,Mangga Segar,100,96,4,96.0,84.73443765000003,86.415539,115.292769
5,Mentimun Busuk,100,50,50,50.0,88.45972464999998,90.22777,122.041462
6,Mentimun Segar,100,99,1,99.0,81.13807157000001,80.701231,117.126616
7,Pisang Busuk,100,100,0,100.0,93.63946151999997,96.654615,127.87377
8,Pisang Segar,100,100,0,100.0,81.49044927000001,84.356,115.768847
9,Tomat Busuk,100,92,8,92.0,96.74055077000001,99.750461,125.801539
10,Tomat Segar,100,100,0,100.0,83.16601619999997,86.267,110.969154
11,Wortel Busuk,100,95,5,95.0,82.0306669,86.090539,112.002385
12,Wortel Segar,100,100,0,100.0,85.40386924000003,82.867077,122.568692
